년도,지방청,경찰서,경찰관
2017년,전남,장흥,140
2017년,전남,보성,151
2017년,전남,영광,153
2017년,전남,화순,161
2017년,전남,함평,121
2017년,전남,영암,168
2017년,전남,장성,138
2017년,전남,강진,132
2017년,전남,담양,134
2017년,전남,곡성,116
2017년,전남,완도,154
2017년,전남,진도,127
2017년,전남,구례,117
2017년,경북,경주,482
2017년,경북,포항북부,431
2017년,경북,포항남부,421
2017년,경북,구미,649
2017년,경북,경산,398
2017년,경북,안동,353
2017년,경북,김천,277
2017년,경북,영주,224
2017년,경북,영천,227
2017년,경북,상주,237
2017년,경북,문경,189
2017년,경북,칠곡,229
2017년,경북,의성,172
2017년,경북,청도,118
2017년,경북,영덕,121
2017년,경북,울진,140
2017년,경북,봉화,110
2017년,경북,예천,128
2017년,경북,성주,129
2017년,경북,청송,100
2017년,경북,영양,82
2017년,경북,군위,99
2017년,경북,고령,101
2017년,경북,울릉,55
2017년,경남,창원중부,421
2017년,경남,창원서부,320
2017년,경남,마산중부,286
2017년,경남,마산동부,365
2017년,경남,진주,510
2017년,경남,김해중부,464
2017년,경남,김해서부,289
2017년,경남,거제,361
2017년,경남,양산,394
2017년,경남,진해,253
2017년,경남,통영,240
2017년,경남,사천,222
2017년,경남,밀양,213
2017년,경남,거창,167
2017년,경남,합천,158
2017년,경남,창녕,158
2017년,경남,고성,156
2017년,경남,하동,150
2017년,경남,남해,137
2017년,경남,함양,131
2017년,경남,산청,127
2017년,경남,함안,157
2017년,경남,의령,137
2017년,제주,제주동부,451
2017년,제주,제주서부,364
2017년,제주,서귀포,342
2018년,서울,서울중부,518
2018년,서울,서울종로,647
2018년,서울,서울남대문,495
2018년,서울,서울서대문,665
2018년,서울,서울혜화,475
2018년,서울,서울용산,683
2018년,서울,서울성북,538
2018년,서울,서울동대문,807
2018년,서울,서울마포,861
2018년,서울,서울영등포,971
2018년,서울,서울성동,635
2018년,서울,서울동작,665
2018년,서울,서울광진,700
2018년,서울,서울서부,407
2018년,서울,서울강북,661
2018년,서울,서울금천,547
2018년,서울,서울중랑,748
2018년,서울,서울강남,824
2018년,서울,서울관악,888
2018년,서울,서울강서,920
2018년,서울,서울강동,743
2018년,서울,서울종암,409
2018년,서울,서울구로,743
2018년,서울,서울서초,706
2018년,서울,서울양천,765
2018년,서울,서울송파,1025
2018년,서울,서울노원,800
2018년,서울,서울방배,365
2018년,서울,서울은평,489
2018년,서울,서울도봉,554
2018년,서울,서울수서,626
2018년,부산,부산중부,312
2018년,부산,부산동래,536
2018년,부산,부산영도,370
2018년,부산,부산동부,401
2018년,부산,부산진,827
2018년,부산,부산서부,348
2018년,부산,부산남부,746
2018년,부산,부산해운대,707
2018년,부산,부산사상,509
2018년,부산,부산금정,519
2018년,부산,부산사하,586
2018년,부산,부산연제,554
2018년,부산,부산강서,320
2018년,부산,부산북부,466
2018년,부산,부산기장,319
2018년,대구,대구중부,398
2018년,대구,대구동부,653
2018년,대구,대구서부,460
2018년,대구,대구남부,395
2018년,대구,대구북부,433
2018년,대구,대구수성,651
2018년,대구,대구달서,438
2018년,대구,대구성서,543
2018년,대구,대구달성,365
2018년,대구,대구강북,355
2018년,인천,인천중부,555
2018년,인천,인천미추홀,725
2018년,인천,인천남동,566
2018년,인천,인천논현,393
2018년,인천,인천부평,477
2018년,인천,인천삼산,466
2018년,인천,인천서부,684
2018년,인천,인천계양,492
2018년,인천,인천연수,446
2018년,인천,인천강화,213
2018년,광주,광주동부,371
2018년,광주,광주서부,561
2018년,광주,광주남부,365
2018년,광주,광주북부,732
2018년,광주,광주광산,581
2018년,대전,대전중부,458
2018년,대전,대전동부,471
2018년,대전,대전서부,371
2018년,대전,대전대덕,341
2018년,대전,대전둔산,426
2018년,대전,대전유성,437
2018년,울산,울산중부,562
2018년,울산,울산남부,643
2018년,울산,울산동부,380
2018년,울산,울산울주,380
2018년,경기남부,수원중부,619
2018년,경기남부,수원남부,748
2018년,경기남부,수원서부,495
2018년,경기남부,안양동안,478
2018년,경기남부,안양만안,434
2018년,경기남부,군포,403
2018년,경기남부,성남수정,527
2018년,경기남부,성남중원,492
2018년,경기남부,분당,607
2018년,경기남부,부천소사,353
2018년,경기남부,부천원미,819
2018년,경기남부,부천오정,334
2018년,경기남부,광명,492
2018년,경기남부,안산단원,737
2018년,경기남부,안산상록,582
2018년,경기남부,시흥,751
2018년,경기남부,평택,823
2018년,경기남부,오산,345
2018년,경기남부,화성서부,451
2018년,경기남부,화성동탄,418
2018년,경기남부,용인동부,679
2018년,경기남부,용인서부,370
2018년,경기남부,광주,440
2018년,경기남부,김포,509
2018년,경기남부,과천,187
2018년,경기남부,의왕,233
2018년,경기남부,하남,278
2018년,경기남부,이천,375
2018년,경기남부,안성,338
2018년,경기남부,여주,273
2018년,경기남부,양평,270
2018년,경기북부,의정부,762
2018년,경기북부,고양,545
2018년,경기북부,일산동부,481
2018년,경기북부,일산서부,367
2018년,경기북부,남양주,740
2018년,경기북부,파주,581
2018년,경기북부,양주,325
2018년,경기북부,동두천,225
2018년,경기북부,구리,369
2018년,경기북부,포천,372
2018년,경기북부,가평,204
2018년,경기북부,연천,172
2018년,강원,춘천,481
2018년,강원,강릉,408
2018년,강원,원주,569
2018년,강원,동해,227
2018년,강원,태백,152
2018년,강원,속초,296
2018년,강원,삼척,220
2018년,강원,영월,143
2018년,강원,정선,163
2018년,강원,홍천,193
2018년,강원,평창,139
2018년,강원,횡성,135
2018년,강원,고성,117
2018년,강원,인제,123
2018년,강원,철원,128
2018년,강원,화천,105
2018년,강원,양구,104
2018년,충북,청주흥덕,516
2018년,충북,청주상당,360
2018년,충북,청주청원,385
2018년,충북,충주,351
2018년,충북,제천,264
2018년,충북,음성,221
2018년,충북,영동,150
2018년,충북,괴산,167
2018년,충북,단양,112
2018년,충북,보은,126
2018년,충북,옥천,139
2018년,충북,진천,165
2018년,충남,천안서북,460
2018년,충남,천안동남,417
2018년,충남,서산,275
2018년,충남,아산,422
2018년,충남,논산,265
2018년,충남,공주,248
2018년,충남,보령,254
2018년,충남,당진,270
2018년,충남,세종,308
2018년,충남,홍성,213
2018년,충남,예산,184
2018년,충남,부여,195
2018년,충남,서천,170
2018년,충남,금산,147
2018년,충남,청양,132
2018년,충남,태안,170
2018년,전북,전주완산,572
2018년,전북,전주덕진,522
2018년,전북,군산,541
2018년,전북,익산,516
2018년,전북,정읍,317
2018년,전북,남원,262
2018년,전북,김제,246
2018년,전북,완주,214
2018년,전북,고창,171
2018년,전북,부안,178
2018년,전북,임실,122
2018년,전북,순창,121
2018년,전북,진안,130
2018년,전북,장수,101
2018년,전북,무주,111
2018년,전남,목포,643
2018년,전남,여수,526
2018년,전남,순천,497
2018년,전남,나주,263
2018년,전남,광양,273
2018년,전남,고흥,205
2018년,전남,해남,208
2018년,전남,무안,195
2018년,전남,장흥,141
2018년,전남,보성,153
2018년,전남,영광,158
2018년,전남,화순,166
2018년,전남,함평,128
2018년,전남,영암,171
2018년,전남,장성,141
2018년,전남,강진,136
2018년,전남,담양,135
2018년,전남,곡성,120
2018년,전남,완도,159
2018년,전남,진도,129
2018년,전남,구례,118
2018년,경북,경주,500
2018년,경북,포항북부,442
2018년,경북,포항남부,433
2018년,경북,구미,659
2018년,경북,경산,410
2018년,경북,안동,361
2018년,경북,김천,286
2018년,경북,영주,227
2018년,경북,영천,233
2018년,경북,상주,242
2018년,경북,문경,192
2018년,경북,칠곡,237
2018년,경북,의성,176
2018년,경북,청도,120
2018년,경북,영덕,123
2018년,경북,울진,146
2018년,경북,봉화,114
2018년,경북,예천,133
2018년,경북,성주,133
2018년,경북,청송,105
2018년,경북,영양,85
2018년,경북,군위,100
2018년,경북,고령,108
2018년,경북,울릉,56
2018년,경남,창원중부,448
2018년,경남,창원서부,320
2018년,경남,마산중부,287
2018년,경남,마산동부,368
2018년,경남,진주,521
2018년,경남,김해중부,479
2018년,경남,김해서부,304
2018년,경남,양산,416
2018년,경남,거제,377
2018년,경남,진해,262
2018년,경남,통영,247
2018년,경남,사천,229
2018년,경남,밀양,222
2018년,경남,거창,170
2018년,경남,합천,162
2018년,경남,창녕,161
2018년,경남,고성,159
2018년,경남,하동,153
2018년,경남,남해,142
2018년,경남,함양,134
2018년,경남,산청,132
2018년,경남,함안,160
2018년,경남,의령,141
2018년,제주,제주동부,469
2018년,제주,제주서부,374
2018년,제주,서귀포,356
2019년,서울,서울중부,516
2019년,서울,서울종로,648
2019년,서울,서울남대문,491
2019년,서울,서울서대문,663
2019년,서울,서울혜화,476
2019년,서울,서울용산,688
2019년,서울,서울성북,524
2019년,서울,서울동대문,807
2019년,서울,서울마포,863
2019년,서울,서울영등포,981
2019년,서울,서울성동,629
2019년,서울,서울동작,656
2019년,서울,서울광진,707
2019년,서울,서울서부,399
2019년,서울,서울강북,668
2019년,서울,서울금천,561
2019년,서울,서울중랑,753
2019년,서울,서울강남,846
2019년,서울,서울관악,901
2019년,서울,서울강서,917
2019년,서울,서울강동,747
2019년,서울,서울종암,404
2019년,서울,서울구로,733
2019년,서울,서울서초,710
2019년,서울,서울양천,758
2019년,서울,서울송파,"1,030"
2019년,서울,서울노원,792
2019년,서울,서울방배,356
2019년,서울,서울은평,486
2019년,서울,서울도봉,558
2019년,서울,서울수서,631
2019년,부산,부산중부,317
2019년,부산,부산동래,540
2019년,부산,부산영도,369
2019년,부산,부산동부,403
2019년,부산,부산진,855
2019년,부산,부산서부,349
2019년,부산,부산남부,719
2019년,부산,부산해운대,711
2019년,부산,부산사상,511
2019년,부산,부산금정,510
2019년,부산,부산사하,577
2019년,부산,부산연제,554
2019년,부산,부산강서,325
2019년,부산,부산북부,472
2019년,부산,부산기장,326
2019년,대구,대구중부,399
2019년,대구,대구동부,642
2019년,대구,대구서부,459
2019년,대구,대구남부,396
2019년,대구,대구북부,423
2019년,대구,대구수성,651
2019년,대구,대구달서,438
2019년,대구,대구성서,545
2019년,대구,대구달성,378
2019년,대구,대구강북,356
2019년,인천,인천중부,563
2019년,인천,인천미추홀,733
2019년,인천,인천남동,574
2019년,인천,인천논현,394
2019년,인천,인천부평,481
2019년,인천,인천삼산,470
2019년,인천,인천서부,695
2019년,인천,인천계양,482
2019년,인천,인천연수,448
2019년,인천,인천강화,216
2019년,광주,광주광산,579
2019년,광주,광주동부,375
2019년,광주,광주서부,563
2019년,광주,광주남부,373
2019년,광주,광주북부,731
2019년,대전,대전중부,460
2019년,대전,대전동부,468
2019년,대전,대전서부,382
2019년,대전,대전대덕,342
2019년,대전,대전둔산,427
2019년,대전,대전유성,450
2019년,울산,울산중부,558
2019년,울산,울산남부,646
2019년,울산,울산동부,379
2019년,울산,울산울주,384
2019년,세종,세종,305
2019년,경기남부,수원중부,623
2019년,경기남부,수원남부,751
2019년,경기남부,수원서부,504
2019년,경기남부,안양동안,482
2019년,경기남부,안양만안,442
2019년,경기남부,군포,402
2019년,경기남부,성남수정,533
2019년,경기남부,성남중원,498
2019년,경기남부,분당,607
2019년,경기남부,부천소사,358
2019년,경기남부,부천원미,819
2019년,경기남부,부천오정,339
2019년,경기남부,광명,494
2019년,경기남부,안산단원,736
2019년,경기남부,안산상록,585
2019년,경기남부,시흥,760
2019년,경기남부,평택,829
2019년,경기남부,오산,344
2019년,경기남부,화성서부,447
2019년,경기남부,화성동탄,422
2019년,경기남부,용인동부,682
2019년,경기남부,용인서부,380
2019년,경기남부,광주,447
2019년,경기남부,김포,508
2019년,경기남부,과천,188
2019년,경기남부,의왕,233
2019년,경기남부,하남,283
2019년,경기남부,이천,380
2019년,경기남부,안성,338
2019년,경기남부,여주,275
2019년,경기남부,양평,273
2019년,경기북부,의정부,761
2019년,경기북부,고양,560
2019년,경기북부,일산동부,479
2019년,경기북부,일산서부,373
2019년,경기북부,남양주,747
2019년,경기북부,파주,587
2019년,경기북부,양주,335
2019년,경기북부,동두천,227
2019년,경기북부,구리,373
2019년,경기북부,포천,370
2019년,경기북부,가평,205
2019년,경기북부,연천,172
2019년,강원,춘천,483
2019년,강원,강릉,411
2019년,강원,원주,566
2019년,강원,동해,227
2019년,강원,태백,154
2019년,강원,속초,297
2019년,강원,삼척,221
2019년,강원,영월,143
2019년,강원,정선,163
2019년,강원,홍천,195
2019년,강원,평창,138
2019년,강원,횡성,135
2019년,강원,고성,117
2019년,강원,인제,122
2019년,강원,철원,128
2019년,강원,화천,104
2019년,강원,양구,105
2019년,충북,청주흥덕,514
2019년,충북,청주상당,366
2019년,충북,청주청원,389
2019년,충북,충주,352
2019년,충북,제천,265
2019년,충북,음성,221
2019년,충북,영동,154
2019년,충북,괴산,171
2019년,충북,단양,116
2019년,충북,보은,131
2019년,충북,옥천,143
2019년,충북,진천,166
2019년,충남,천안서북,467
2019년,충남,천안동남,425
2019년,충남,서산,278
2019년,충남,아산,423
2019년,충남,논산,268
2019년,충남,공주,249
2019년,충남,보령,257
2019년,충남,당진,272
2019년,충남,홍성,216
2019년,충남,예산,186
2019년,충남,부여,196
2019년,충남,서천,170
2019년,충남,금산,147
2019년,충남,청양,133
2019년,충남,태안,172
2019년,전북,전주완산,572
2019년,전북,전주덕진,524
2019년,전북,군산,545
2019년,전북,익산,519
2019년,전북,정읍,318
2019년,전북,남원,268
2019년,전북,김제,248
2019년,전북,완주,219
2019년,전북,고창,175
2019년,전북,부안,180
2019년,전북,임실,126
2019년,전북,순창,122
2019년,전북,진안,131
2019년,전북,장수,106
2019년,전북,무주,113
2019년,전남,목포,641
2019년,전남,여수,525
2019년,전남,순천,494
2019년,전남,나주,263
2019년,전남,광양,273
2019년,전남,고흥,210
2019년,전남,해남,211
2019년,전남,무안,195
2019년,전남,장흥,144
2019년,전남,보성,153
2019년,전남,영광,158
2019년,전남,화순,166
2019년,전남,함평,129
2019년,전남,영암,172
2019년,전남,장성,142
2019년,전남,강진,137
2019년,전남,담양,139
2019년,전남,곡성,122
2019년,전남,완도,161
2019년,전남,진도,131
2019년,전남,구례,119
2019년,경북,경주,496
2019년,경북,포항북부,444
2019년,경북,포항남부,434
2019년,경북,구미,658
2019년,경북,경산,415
2019년,경북,안동,365
2019년,경북,김천,287
2019년,경북,영주,227
2019년,경북,영천,233
2019년,경북,상주,242
2019년,경북,문경,193
2019년,경북,칠곡,238
2019년,경북,의성,177
2019년,경북,청도,124
2019년,경북,영덕,126
2019년,경북,울진,146
2019년,경북,봉화,115
2019년,경북,예천,134
2019년,경북,성주,135
2019년,경북,청송,106
2019년,경북,영양,86
2019년,경북,군위,101
2019년,경북,고령,110
2019년,경북,울릉,59
2019년,경남,창원중부,439
2019년,경남,창원서부,320
2019년,경남,마산중부,288
2019년,경남,마산동부,367
2019년,경남,진주,521
2019년,경남,김해중부,480
2019년,경남,김해서부,309
2019년,경남,양산,423
2019년,경남,거제,382
2019년,경남,진해,271
2019년,경남,통영,252
2019년,경남,사천,232
2019년,경남,밀양,226
2019년,경남,거창,172
2019년,경남,합천,164
2019년,경남,창녕,162
2019년,경남,고성,161
2019년,경남,하동,153
2019년,경남,남해,142
2019년,경남,함양,135
2019년,경남,산청,132
2019년,경남,함안,161
2019년,경남,의령,141
2019년,제주,제주동부,478
2019년,제주,제주서부,394
2019년,제주,서귀포,377
2020년,서울,서울중부,505
2020년,서울,서울종로,649
2020년,서울,서울남대문,489
2020년,서울,서울서대문,670
2020년,서울,서울혜화,462
2020년,서울,서울용산,690
2020년,서울,서울성북,521
2020년,서울,서울동대문,812
2020년,서울,서울마포,875
2020년,서울,서울영등포,995
2020년,서울,서울성동,623
2020년,서울,서울동작,658
2020년,서울,서울광진,717
2020년,서울,서울서부,409
2020년,서울,서울강북,660
2020년,서울,서울금천,558
2020년,서울,서울중랑,749
2020년,서울,서울강남,860
2020년,서울,서울관악,904
2020년,서울,서울강서,924
